Label	Text
negative	attempt many thing never really accomplishes anything plot time travel meander weave along without r
positive	read jane austen novel right way year every year since <num> year old received modern library editio
negative	frank cash link home front one lifeless private snafu short series cartoon made instructional film m
positive	surprisingly good one turned type live looking age particularly important fantastic looking chicago 
negative	gauge movie compared stupid revolver toronto international festival audience last night room filled 
positive	saw saving grace right came video since become one favourite plot int particularly complex take away
negative	oh yes laura killer goofy horrible ninja make mistake also incredibly enjoyable one largely thanks a
negative	know original psycho classic remaking mistake especially shot hot remake think less proven rest comm
positive	existent futuristic video game pod system almost like virtual reality copy video game damaged assass
positive	definitely scripted ff vii fan mind someone never played original game watched friend series fan vis
negative	hama smile smile actually made way like say something guess created think sort psychological test li
positive	one time favourite cary grant victor mcallen douglas fairbanks cast mention sam jaffa gunge din dram
positive	coinciding start baby boom year world war ii saw unprecedented exodus american moving city apartment
positive	garlic great job nice concept well executed tightly produced came across sincere story fan curb enth
negative	meant parody lot trilogy one awful movie live ever seen bad acting bad screenplay bad everything per
negative	bought shop called pound looking inspiration previously bought big deal remade expected badly inspir
positive	enjoyed appreciated view sure subtlety missed wonderfully cast acting cliche performance plot us tra
negative	real turkey overrated director franco gave u classic la vampire vampire lesbos yes think bad film gr
negative	surface lie simply awful viewer justifiably commented storm sequence plain ridiculous chopping alrea
negative	went see based review sister ebert get duped took friend along spend rest day profusely apologizing 
negative	last thing yo humour evaporated ever attempt watch watch alone invite one never return watch another
negative	theatre bad history past gruesome murder reopens course bloody killing start anew written directed s
negative	raising victor vargas fails terribly try real unfortunately reality character situation feel complet
negative	one redeeming feature namely striking shot eg shot sheep hanging tree scene funeral procession raft 
positive	far parody film go worth time energy recent resurgence horrid parody date comeback breath fresh air 
positive	spike forester comic genius talk show demonstrates fresh take kind odd ball irreverence made show li
positive	early oliver stone associate produced one first film impressive career lloyd kaufman confounder pres
positive	music currently played istanbul istanbul center two old world superpower byzantine empire ottoman em
negative	speed believe direct copy hollywood cellular watched one give impression test match exciting first f
negative	im probably giving fair shake unable watch perhaps id seen theatre original presentation might appre
negative	friend mine enjoys watching worst film possibly find good laugh watching told put one forced give go
negative	blond main character always belief everyone stick together anything shy guy best friend curly hair r
positive	dream hoot gibson howdy woody im talking theatre harry crystal nothing beat great stage show nothing
positive	spicy little piece filmmaking sam fuller give richard bismark chance show best edgy acting role skip
negative	rented maybe worst ever box video store cool looking monster cover reality monster creature black la
negative	watched recently mainly huge fan jodie foster saw made right <num> oscar award winning performance e
negative	really two section firstly laughable prologue hysterical cornball would almost feel appropriate simp
positive	everyone like coolly created memorable heist devon provides antihero melville provides cool handful 
positive	good news circus town bad news right bug bunny underground home wake place shake like earthquake hit
negative	oh heck ill reveal secret stink yeah nifty dinosaur effect time probably really exciting watch done 
positive	lillian murphy rachel mcadam star action thriller written directed master suspense craven whole star
positive	show definitely funniest show currently tv started watching two half year ago soon saw could tell gr
negative	terrible john wayne brutal actor time lead female playing role maura good job tried best make scene 
negative	light spoiler stealing sinatra half slapstick comedy dimwit kidnapper dimwit victim side story throw
negative	discovered patriot store thought could real action thriller instead low budget ridiculous story doub
negative	reason bothering comment save <num> minute life maybe money bought rental looked interesting took ch
negative	time machine right run real time <num> minute felt like <num> year first <num> minute utterly superf
negative	nearly <num> year still hate everyone involved remains worst live ever seen seeing never much minded
positive	late french study disaffected youth early actually grown yet settled adult world probably missed mar
negative	nothing better decided check aztec rex billed hell silly story might played better dinosaur effect c
positive	people drift life moving one thing one person next without batting eye others latch cause another pe
negative	stole freshman college live tried watch three time second two friend wanted see sweet adam handler l
positive	car cape totally rule opinion close babylon five although <num> main character series spaceship incl
positive	gilmore girl started germany want watch something unique series even know someone later realized edw
positive	back michael jackson popularity wanted make <num> million horror music video american werewolf team 
positive	read young frenchman moroccan descent despite muslim heritage french attitude value blue father anno
negative	endless repetition evil world bank globalization american blamed africa problem long two hour seems 
negative	usually love teen high school genre flick really lacking originality premise four friend cheating wa
negative	thought subpar acting good great story funny come way director dropped ball james jim tea honest hum
negative	may based historical event know maker tv docudrama took liberty make dramatic live badly done amazed
negative	rick sloane allowed make five movie harder believe cold fusion absolutely criminal watching thought 
positive	lot little cash blair witch proved support sitcom length complexity however john cheese sherlock hol
negative	basically take concept every asian horror ghost smash one get story go like bunch college kid get vo
positive	theodore rex possibly greatest cinematic experience time certainly milestone human culture civilizat
negative	like gathering people movie decided make really bad dude detroit rock city girl cosby show dork kiss
positive	probably watching tv got interested debate whether anna really nicholas daughter anastasia since see
negative	figured poltergeist lady int going good actually start okay first murder scene find watching inside 
negative	ok im normally pretty open minded movie normally see good side totally pandered others exception won
positive	shinar matsu played blind swordsman touch total <num> movie end hand trilogy excellent get make love
negative	age <num> james cole played steven legal sent help detective jim campbell played keenan ivory mayan 
negative	fawning people mike work sat flick tonight figured half good ring assumed comment might worth time l
negative	deserved <num> <num> would house dead redefines term bad bad movie stranger call premonition actuall
positive	surprised liked reminded version first friday number cheesy element yet time many cool one story lin
positive	cute starring spank alfalfa buckwheat gang comedy set south civil war may seem little odd see buckwh
negative	hook going american indian scalp number one son frontiersman bruce bennett daniel boone seems first 
negative	time released seen chorus line stage <num> time anticipating eagerly long rumoured production story 
positive	wonderfully gritty drama detailing various side international heroin drug trade hill northern pakist
negative	might poorest example amateur propaganda ever made writer producer study german film thirty forty kn
positive	along south pacific guy doll grownup sassy sexy full men men woman strung along energy drive make st
negative	good premise start suspense slasher secret society really figure bad guy last quarter contained many
positive	right better book done get wrong love book much better jack nicholson shelly dual best seen cayman b
negative	man stink obvious helped spurn hollywood need churn tired sequel appeal mass first came quickly seco
positive	must see documentary many thing consider watching great documentary trial <num> year old black kid n
negative	finished marathon series became agonising watch progressed fictional using historical element oberli
positive	saw guidance one first year attended festival blew away went much fast live never able find figured 
positive	seen fine <num> year im entering comment anyway jack webb doubt intended purely entertainment showin
negative	miniseries terrible time nearly broke turned great fan novel however suffers multitude problem costu
positive	teacher new beginning watch wont notice romanian old boring style gone something else post revolutio
positive	rouen prize triumph villa paranoia favourite general public actually important jury prize erik claus
positive	james stewart play fri agent began working agency called fri story involves dealing ku flux klan pro
positive	producer showcase version musical peter pan mary martin benefit showcasing original broadway cast in
negative	standard action flick seen many time much action one though guy protecting president he macho usual 
positive	terrific slightly slow start give chance get cooking story build interest complexity character story
negative	veteran sleaze bruno matter erotic thriller clearly echo joel schumacher hmm expected matter minuscu
positive	discovered ring trilogy greedily gobbling japanese korean film either following bandwagon done easy 
positive	pretty evident many night spent alone watched <num> minute actual show instead watching commercial w
positive	classic highly influential low budget thriller gave birth horror icon launched career director carpe
positive	done much add said much time first likely time studio hung totally dead end kid warner gave boy plen
negative	spinal tap funny knew little heavy metal saw invokes place know anything porn mock documentary leave
negative	hone used like show watch regularly thank god done understand watch sex city one pointless insulting
positive	ill keep one quite short believe extraordinary see reviewer commented effect badly written poorly sh
negative	liked blair like one lousy camerawork soundtrack nonexistent plot suspenseful moment also tom saving
positive	begin mentally challenged girl bright yellow sneaker looking skyward madrid street corner spellbound
positive	never traumatized rom see first amazing acting supercharged soundtrack busty gut humour blend perfec
negative	one would make believe game man obsessed number sure interesting subject person become obsessed some
positive	like detective police show like suspenseful movie love great christopher melon amazing acting skill 
negative	hooray title misspelling reading review contemplating girlfriend confirmed utter piece trash lost on
positive	bertrand flier indeed infant terrible french cinema seventy always could shock public filmed fave du
negative	sounded promising rental store premise sounded great wait get home watch appalling dialogue dreadful
negative	possible spoiler alert though much spoil saw project part ii seen first done think missed much proje
positive	dr alan feint one corban jensen turn marvellously deranged performance dentist already obsessive com
positive	music video often completely disregarded discussion people considering lesser art form great majorit
positive	unlike tinseltown version hello dolly jay preston allen screen adaptation ira levine hit broadway th
positive	movie loved almost everyone come across yet happen box office failure anna anna intelligent hilariou
positive	really loved seeing think brilliant underrated alfred hitchcock everyone familiar famous statue libe
negative	tendency repeat lender consistent disappointment ever since hit big paris texas land plenty exceptio
positive	took really good jack black added little jeepers creeper dash joyride hint texas chainsaw massacre h
positive	seen least time still excited acting perfect romance joe jean keep edge seat plus still think bryan 
negative	beep going wrong disney last year totally run good idea magic good animator good songwriter good dir
negative	jewish newspaper reporter justin timberland joshua josh pollack puzzled courtroom defendant whisper 
positive	lot great actor actress addressed noble issue full emotion direction done well storyline progress qu
negative	cant go long describing tittle simply feel strong read comment see proud patriotic frenchman seem li
positive	thoroughly enjoyed humour pathos especially like way character welcomed gina various suitor friend f
positive	great see korea fox role get smile lot also loved hearing sing nice change see site winger role ente
positive	first saw chance visiting uncle arizona <num> <num> year ago vhf print little faded looking haunted 
positive	sherman set payback machine united state climbing worst postwar recession japan enjoying unprecedent
negative	okay watched little day cleaning closet see thought idea like went ahead put inch gothic darn bad ne
negative	fight monster might take care lest thereby become monster gaze long abyss abyss gaze also yes nietzs
negative	start showing map explaining radar quite awhile ever see deadly mantis probably better dated piece b
positive	prime suspect <num> continues exploit inscrutable dogged seeker truth justice detective superintende
negative	confess fantasy brad pitt pretty tough admission heterosexual make tell maybe famous extra something
positive	eric stolen delivers extraordinary performance joel garcia successful young novelist wind paralysed 
positive	one best series ranking resident evil <num> nemesis bio hazard last escape game good storyline play 
positive	legend zu possibly exciting live seen recent year transcends expectation truly work art unmatched vi
positive	turkish german director faith akin head edge heaven follows german musician head soundtrack composer
positive	fantastic chaplin many memorable moment charlie join army fight ww <num> first go boot camp learn ha
negative	first sorry giving even rating <num> nothing less available fails every department screenplay direct
positive	watch every time play tv simply brilliant three men return home war try return civilian life great d
negative	tool aid drinker remark mean devoted fan man pavarotti make attempt objectively rate giving <num> ak
negative	ever made tarnished original candy shack crap able watch half didst laugh least didst pay see tv won
negative	picked cheep bin walmart cover showed one plane flew vietnam fly air america knew pilot knew lot inc
negative	wife finished watching best aka booth fell asleep part really wish taken snooze unfortunate fact mai
positive	one movie like dave american dreamer local hero hold viewer interest time lightweight movie seldom w
negative	long brownout pointless im sure historically delightful entertainment go make grade ralph fine fanta
positive	particularly enjoyed delay review agree howard damaged character howard rather ruthlessly setup scri
positive	live read little bit che watching wanna know something real hero people wanted see equality everyone
negative	though hard impossible watch horror depicts way depicted imagine costa madras could done true horror
positive	start classroom setting surprisingly main actress worked seen chinese language class later asked muc
negative	sex city great thing going problem saddled number negative really hurt ultimate rating review six se
positive	watched expecting see usual british stiff upper lip stereotype surprised find dialogue remarkably na
positive	peter strauss nature appearing miniseries made film often get unfairly high proportion bad review us
negative	decide watch wild rebel done expect anything deep meaningful looking explores relationship structure
positive	alexander nevsky brilliant piece cinematic propaganda people russia threatened two major enemy mongo
positive	boy fantastically bic finally brought doctor back screen saturday evening belongs style episode one 
positive	buster absolutely shine episode vehicle live seen towards end career allowed physical silent comedy 
positive	tired repetitive unintelligent material mainstream industry release enjoy alone thought provoking we
negative	storyline seemed fine actor seemed fine fine sure want didst lead u anywhere scene weird maybe meant
positive	live tape year started watching morning waiting laundry ironic mostly wanted hear benjamin frankel t
positive	many wonderful element debut performance reese wither spoon course marvellous chemistry jason london
negative	reason watching little known irish question could mike myers played normal dramatic character well c
positive	everything said excellent first feature cline scam friendship wanting fit first sexual feeling much 
negative	although sure idea looked good paper appealed first heard often lumber along fall flat watch want en
positive	one frightening game experience ever make keep light next bed great storyline romantic horrific iron
positive	philosophical meditative tone render one kind id give <num> star alone said though hit particular fo
positive	love make laugh kinda hard one best cartoon adaptation ever warp character like movie everyone chara
positive	absolute cinematic genius well brought together cast give almost magical performance effect nothing 
positive	ok soldier int deep meaningful like blade runner big budget terminator <num> whole found quite enjoy
negative	admit come age hippie dippy age sucker kind movie enjoy schlock hippie genre far normal people howev
positive	sunshine boy hilarious screen adaptation neil simon play retired vaudevillian team played walter mat
positive	big fan stephen king work made even greater fan king pet seminary creed family moved new house seem 
negative	cant remember last time boring walked weatherman island bad thought even stayed end incomprehensible
negative	int anyone else tired old cliche nearly dead person show horror give u information blast head appare
positive	love jack joke like cliche top cliche guy black oily skin kinda spooky hilarious daniel starting cat
positive	seen probably dozen time since originally released theatrically anyone call trash horrible understan
positive	first time live seen happy fact first time decade band put anything also extremely loud jimmy page o
positive	bewildering absurdist short miller dressed white make way towards u windmill desolate landscape alth
negative	first say generally big fan werewolf movie general done like done like lot enjoyed werewolf london s
positive	absolutely loved even sure particularly think wonderful available woman stranger yet got along well 
negative	well shuck sideways seen home bad since abysmal <num> second half caste someone take away guy sony h
positive	went see ashur fantasia festival kickoff man one cool kick director supposed montreal canadian premi
negative	total bore entrapment way better aspect plot acting stunt etc plus soundtrack one annoying live ever
positive	well target market loved furthermore husband also boomer strong memory liked lot read book went neut
positive	funny sad enough think kinda true love office space love another mike judge hit nothing like office 
positive	shame give low rating like doug mcclure peter cushing silly rubber monster fight guy woman baddie he
positive	refreshing black comedy starring australia finest way lock stock <num> smoking barrel captured funny
positive	watched palette last night word come mind original word used much tv tend copy whatever network end 
positive	star fucker read starstruck box amazing ever seen thought one best movie ever seen <num> nothing per
positive	agree aussie comment part however id seem fairly decent plot unoriginal christina kelli mccarty inhe
negative	understand purpose director tell story agent story way tried show time passing couple jogger first a
negative	worst ever purpose filming remake aside turning minute infomercial movie soundtrack zombie run guess
negative	im going write required however summary put top way wordy pretty much know beginning spite attempt p
negative	like movie creepy town hotel house state ala eagle hotel california etc possess people passing read 
negative	plot involves new hipper franchise barbershop moving across street calvin barbershop feel like chang
negative	happy go lovely waste everybody time talent including audience lightness oldham mistaken identity fa
negative	im two mind following debut christopher nolan part admires costing dollar make part hate art house m
positive	like idea missing seen yet crazy hilarious incorporates lot hip hop industry parody unfortunate rele
positive	short immense feeling last <num> minute among intense recent year industry huston john dying love ma
negative	want know kind music white people listened listen lot flute violin see remark girl <num> reference i
negative	request watch start promise go crave end predictable entertaining save time watch better thriller sy
negative	one nude scene man sitting edge bed exposed genitals smack dab middle screen quite long scene point 
positive	action packed favourite type creature wont give away seen worth taking time sit unravel mystery thin
negative	<num> men age <num> refer without irony game either player ballet gentleman swift descent starring r
positive	homicide junky great every single character ever show made appearance helped resolve issue series un
positive	graphically game first one different level new feature added fun psi version still issue giving skat
negative	remember watching lost missile actually throwing fit brother several cousin whose home overnight gue
negative	snake island one film whilst one sits watch amazing level stupidity make one wish camera never inven
positive	without doubt one funniest entertaining movie ever seen really enjoyed character wonderful bizarre s
negative	today arthur died cruising around id web site somehow wound show called gloria family brilliant show
positive	best time opinion really taught watched <num> freedom child slip away sooner expect also joseph marv
negative	obvious attack microsoft made people done appear understand intellectual property market economy gen
negative	kk stick singing whole big bore cant understand viciousness boy romance mile kk sex scene uninspired
positive	possible good time time regretting int u congressman tom hank engineer support afghan partisan resis
negative	soul plane horrible attempt comedy appeal people thick skull bloodshot eye furry pawn plot incoheren
positive	thus start one crazy summer evil twin better dead bad opening line sung david lee roth total blast p
positive	william powell philo vance kennel murder case also starring mary astor paul havana eugene palette he
positive	human traffic view average weekend group friend lyon thew view life mind show group friend relate ma
negative	thought original <num> bad try modern day masterpiece could worse ask well least first one ally spee
positive	seedy street somewhere new york city lonely punk named romeo keenan little friend ever get tattoo pi
positive	first word come mind watching beauty beauty around actor play indie superb always well designed shot
negative	poster lied marketing flick deeply odds content explosive read synopsis expecting see town grotesque
positive	great ensemble cast fond remembrance younger carefree day take back went summer camp indian summer f
positive	able see yesterday morning early viewing pas mon <num> child range <num> <num> im sure plenty parent
negative	one serious potential environmental cost mining operation pollution downstream stream river lake exc
negative	really need know come opening scene guy fall lake get eaten start rolling title credit see slug big 
negative	almost laughed loud commentary director said original strong plot line one repeat one original plot 
positive	first saw aired defunct trio channel year ago recently watched sans commercial guidance impressed fi
positive	panic sneaky little gem think figured first half hour realize great pleasure henry bromley much bett
negative	watched <num> program proper may <num> minute good information otherwise snotty putdown religious pe
positive	mute witness modest yet solid thriller never really received attention good comment deserves  writt
positive	last big thing wonderful satirical sardonically whip pop culture point humorous self destruction cha
positive	new bear please big fan surface thought script computer graphic exceptional good sci fi flick live s
positive	well say chance see show philadelphia sometime june really loved time favourite madonna look blond a
positive	susie q great romantic prom amy jo johnson susie q great actress think great performance hope someti
negative	live tried watch show several time show called show done find much apart haircut occasional referenc
positive	lovely heart warming television story tell little five year old girl lost daddy find impossible cope
positive	enjoyed offer variety interesting subplots complex lovelace relation along interspersed action scene
negative	check finished relatively short australian cinema run extremely limited release <num> screen sydney 
negative	show worst show ever norris family write produce direct etc etc reason ever see goofy wife like many
negative	quintet definitely people would find amusing even interesting matter scene dialog acting plot develo
negative	anyway funny try funny lame humour dry boring <num> hour torture throughout whole thinking one thing
negative	trailer get want worth good effect storyline tech like tommy lee jones smith actor done good film wi
negative	willing go original cruel intention went along plot stayed true character one favourite story howeve
positive	love seen quite time year get better every viewing agree positive review yes gritty brutally realist
positive	best dialogue ever written really good line given george c scott man knew juicy piece dialogue saw f
positive	cast well picked paul shore hilarious good job bringing plot together however tiffany amber san real
positive	live avoided seeing time finally picked copy born late see hair contemporary setting familiar uk bro
positive	occurred watching imaginary hero screenwriter attempting make drama family relationship seriously co
negative	revival right march bad industry saudi arabia want know director able stand front people industry ma
negative	missing calling heineken coaster great example one ever go see sequel different director writer orig
negative	horrible ending cant believe moore spent year coming smack l ron hubbard dianetics hubbard claimed p
negative	would like comment girl chosen always white woman chosen black woman every episode always white woma
negative	short full blown gore fest based stephen king story two tabloid reporter one seasoned miguel ferret 
negative	spoiler alert spoil afternoon wee small hour morning viewing slot like marc singer portrayed good ch
positive	political documentary recent vintage called fight try examine infamous military industrial complex g
negative	really bad first didst even follow fact half made deputy whose mother one ed gain victim acting horr
negative	mob bos vic loretta late great anthony francis kill lady cheating derek new chauffeur vietnam vet bl
positive	fred great show simple somehow addicting still remember day id watch kid welcome back saturday kid w
positive	world debatable misunderstood subject listed endlessly powerful take one top list moreover objective
negative	awful lot wrong picture beginning script obvious redundant courtney cox play comic book artist escap
positive	impressed could take <num> year old son without cover ear eye sex scene profanity even violence good
positive	shameless screen entertainment relatively new british think label specializing smutty excessively vi
positive	first point really enjoyed watching documentary great music shot editing also wonderful however posi
negative	problem killer elite seeking investing time watch putting effort experience many principal particula
negative	steven legal made really dull bad boring steven legal play doctor got action scene poorly directed n
positive	first main saw long ago loved seemed absolutely artistic original fun hilarious moment let made bore
positive	cinderella opinion greatest love story ever told loved kid love wonderful disney masterpiece <num> f
negative	life miracle expect much hard believe film made man remember dolly bell instance two hour silly anti
positive	felix hollywood great version viewed well restored sometimes problem silent era animated film hollyw
negative	looking fun watch simply make joke great acting cheesy special effect typical shift plotted acting b
positive	great soundtrack really enjoyable music outstanding cast great lead performance worth watching reall
negative	beginning voice sound like wind could quite intriguing story unfolded knew downhill major thing blew
positive	good x evil taste james bond romeo juliet maybe even star war evil count bruno receives english gent
positive	saw san francisco independent festival liked lot worked slightly weird comedy done like horror coupl
positive	show freaking hilarious joke original god love eric kelso yeah know say eth season funny anymore eri
negative	one opinion reason margaret leighton wonderful actress onstage well screen chance see though think e
negative	time kill watching football saw offered shift channel literally watching thought encountered version
positive	adam jones brilliant sense humour nothing didst like cross eyed beautifully shot adam great job deve
positive	night demon great excellent example good low budget sure much fairly predictable somehow still much 
negative	mess start real tank running car intercut image toy tank followed family driving home birthday party
negative	shallow shallow script stilted acting shadow boom mike lingering actor head scene worth watching kat
positive	fan rupert print rented month ago thought well written bunch great actor entertaining showed rupert 
negative	younger <num> watched barney first time liked back didst exactly brain either look back see horrible
positive	read hole eth grade heard ecstatic course busy self didst get chance see heater hole driven town ala
negative	one always tell im enjoying number time cross leg switch position make slight rustling noise etc etc
negative	thriller good concept good acting good photography good intention around confused disjointed executi
negative	earth destroyed nuclear holocaust well part earth somewhere italy band purebred survivor without rad
negative	lot blood sabre tooth attack also loved guy woman good time sabre tooth attacked woman ate stomach t
negative	almost tempted demand money back video store plumb depth inanity almost completely unwatchable never
negative	director state behind feature love horror movie love much dedicated dario argent well notable direct
positive	china syndrome released plenty righting critic produce supporter blasted particularly since three le
positive	surprised sheer audience attracted similar film anita never caused much hype though think probably m
positive	last four swashbuckler france live scheduled viewing christmas season others order viewing uninspire
positive	house game wonderful multiple level fine mystery shocking thriller blessed marvellous performance li
negative	see whole deal patricia haas sings yes make charming singing enough mean want get benefit one go buy
negative	damage hardcore horror hybrid really live extraordinary title intriguing premise wherein various vap
positive	tempo de validates fit snugly buddy action genre transcends root thanks excellent casting tremendous
negative	follow naked civil servant see final year quentin crisp life new york john hurt crisp come else coul
negative	find little good say sure idea script looked good paper filmography acting afraid standard would exp
negative	comedy horror nothing far worst ever seen especially scene romanian becomes werewolf must worst scen
negative	severe backwards step puppet mainly dull tedious outing guy role fantastic andre toulon part three b
positive	normally done comment movie id case feel like love movie want make perfect example fine filmmaking o
positive	road perdition undeservedly overlooked year oscar second work sam mendez opinion best work director 
negative	plot hang one important point murderer also responsible loving caring father father murderer impossi
positive	enigma computer part scramble russian message america cant understand read intended recipient americ
positive	full house still great show good show people age also good family show really agent show like anymor
positive	parker johnathan scratch aspiring writer still looking big break meantime work telephone adviser man
positive	larry lessen den thrashed comment forum well worst mistake evidently marketing way might targeted ob
positive	think better capture concept grace theological sense well intentioned religiosity small congregation
positive	simply epitome made tv lazy sunday afternoon wife grad school stumbled upon cheesy acting poorly wri
positive	think one funniest film ever seen think debbie reynolds hilarious chemistry glenn ford perfect dull 
negative	hollywood lot money creativity im sure writer something oxygen wrote one based preview thought would
